id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;bulan;produksi_padi;satuan;tahun
227;32;JAWA BARAT;3271;KOTA BOGOR;NOVEMBER;25;TON GABAH KERING GILING;2018
228;32;JAWA BARAT;3271;KOTA BOGOR;DESEMBER;42;TON GABAH KERING GILING;2018
229;32;JAWA BARAT;3272;KOTA SUKABUMI;JANUARI;888;TON GABAH KERING GILING;2018
230;32;JAWA BARAT;3272;KOTA SUKABUMI;FEBRUARI;685;TON GABAH KERING GILING;2018
231;32;JAWA BARAT;3272;KOTA SUKABUMI;MARET;1745;TON GABAH KERING GILING;2018
232;32;JAWA BARAT;3272;KOTA SUKABUMI;APRIL;827;TON GABAH KERING GILING;2018
233;32;JAWA BARAT;3272;KOTA SUKABUMI;MEI;1370;TON GABAH KERING GILING;2018
234;32;JAWA BARAT;3272;KOTA SUKABUMI;JUNI;1189;TON GABAH KERING GILING;2018
235;32;JAWA BARAT;3272;KOTA SUKABUMI;JULI;1655;TON GABAH KERING GILING;2018
236;32;JAWA BARAT;3272;KOTA SUKABUMI;AGUSTUS;1371;TON GABAH KERING GILING;2018
237;32;JAWA BARAT;3272;KOTA SUKABUMI;SEPTEMBER;1941;TON GABAH KERING GILING;2018
238;32;JAWA BARAT;3272;KOTA SUKABUMI;OKTOBER;1308;TON GABAH KERING GILING;2018
239;32;JAWA BARAT;3272;KOTA SUKABUMI;NOVEMBER;1085;TON GABAH KERING GILING;2018
240;32;JAWA BARAT;3272;KOTA SUKABUMI;DESEMBER;373;TON GABAH KERING GILING;2018
241;32;JAWA BARAT;3273;KOTA BANDUNG;JANUARI;66;TON GABAH KERING GILING;2018
242;32;JAWA BARAT;3273;KOTA BANDUNG;FEBRUARI;627;TON GABAH KERING GILING;2018
243;32;JAWA BARAT;3273;KOTA BANDUNG;MARET;542;TON GABAH KERING GILING;2018
244;32;JAWA BARAT;3273;KOTA BANDUNG;APRIL;1745;TON GABAH KERING GILING;2018
245;32;JAWA BARAT;3273;KOTA BANDUNG;MEI;746;TON GABAH KERING GILING;2018
